Date,brazil_drawdown_pressure_weighted,brazil_vol_pressure_weighted,external_brazil_pressure_weighted,global_equity_pressure_weighted,fx_pressure_weighted,vix_pressure_weighted,bsti_raw_score,bsti_0_100,bsti_regime,stress_breadth,active_pressure_channels,dominant_pressure_channel,dominant_pressure_value,brazil_drawdown_pressure,brazil_vol_pressure,external_brazil_pressure,global_equity_pressure,fx_pressure,vix_pressure,bsti_state,previous_bsti_state,next_bsti_state,state_changed,warning_threshold,stress_threshold
2014-04-01,0.0,0.12795616247816013,0.06876905098646727,0.0,0.14345669343844006,0.0,0.3401819069030675,11.339396896768916,calm,0.3333333333333333,2,fx_pressure,0.9563779562562671,0.0,0.8530410831877343,0.3438452549323363,0.0,0.9563779562562671,0.0,normal,normal,normal,False,15.0,33.0
2014-04-02,0.0,0.2557165194696164,0.0,0.0,0.0,0.0,0.2557165194696164,8.523883982320546,calm,0.16666666666666666,1,brazil_vol_pressure,1.7047767964641094,0.0,1.7047767964641094,0.0,0.0,0.0,0.0,normal,normal,warning,False,15.0,33.0
2014-04-03,0.0,0.19730460403379205,0.17016217103849307,0.04038826105653663,0.08419375528706925,0.0377833138639129,0.5298321052798038,17.661070175993462,fragile,0.3333333333333333,2,brazil_vol_pressure,1.315364026891947,0.0,1.315364026891947,0.8508108551924654,0.2692550737102442,0.5612917019137951,0.25188875909275266,warning,normal,warning,True,15.0,33.0
2014-04-04,0.0,0.21257808941209055,0.0,0.24680161436803816,0.13028964233364126,0.08033182053027176,0.6700011666440417,22.33337222146806,fragile,0.5,3,global_equity_pressure,1.6453440957869212,0.0,1.4171872627472704,0.0,1.6453440957869212,0.8685976155576085,0.5355454702018118,warning,warning,warning,False,15.0,33.0
2014-04-07,0.0,0.14420034715598232,0.0,0.22337321155545312,0.0,0.21495280430733416,0.5825263630187696,19.417545433958985,fragile,0.5,3,global_equity_pressure,1.4891547437030208,0.0,0.9613356477065488,0.0,1.4891547437030208,0.0,1.4330186953822277,warning,warning,normal,False,15.0,33.0
2014-04-08,0.0,0.08621189081026213,0.11381627937289185,0.0,0.0,0.0,0.200028170183154,6.667605672771799,calm,0.0,0,brazil_vol_pressure,0.574745938735081,0.0,0.574745938735081,0.5690813968644592,0.0,0.0,0.0,normal,warning,normal,True,15.0,33.0
2014-04-09,0.0,0.13441130030471315,0.21284753727163377,0.0,0.0,0.0,0.3472588375763469,11.57529458587823,calm,0.3333333333333333,2,external_brazil_pressure,1.0642376863581688,0.0,0.8960753353647545,1.0642376863581688,0.0,0.0,0.0,normal,normal,warning,False,15.0,33.0
2014-04-10,0.0,0.13951367535618273,0.0,0.40122599382530016,0.0,0.27611529861633993,0.8168549677978227,27.228498926594092,fragile,0.5,3,global_equity_pressure,2.6748399588353347,0.0,0.9300911690412182,0.0,2.6748399588353347,0.0,1.8407686574422661,warning,normal,warning,True,15.0,33.0
2014-04-11,0.0,0.10610149074608342,0.0,0.16932889655357686,0.2454973605822535,0.12248194370042344,0.6434096915823372,21.44698971941124,fragile,0.5,3,fx_pressure,1.6366490705483567,0.0,0.7073432716405562,0.0,1.1288593103571791,1.6366490705483567,0.8165462913361563,warning,warning,normal,False,15.0,33.0
2014-04-14,0.0,0.04794078677664008,0.17420784296093728,0.0,0.11723236117583191,0.0,0.33938099091340923,11.312699697113642,calm,0.3333333333333333,2,external_brazil_pressure,0.8710392148046863,0.0,0.3196052451776005,0.8710392148046863,0.0,0.7815490745055461,0.0,normal,warning,warning,True,15.0,33.0
