date,bsti_0_100,bsti_regime,dominant_pressure_channel,selected_strategy,selected_return,benchmark_return,active_return,warning_threshold,stress_threshold
2023-07-05,18.694968535315002,fragile,fx_pressure,covered_call,0.04012283723303821,0.04294585987370536,-0.0028230226406671527,15.0,33.0
2023-08-03,18.760585462689946,fragile,external_brazil_pressure,covered_call,0.016181833177114552,0.007510383063586534,0.008671450113528018,15.0,33.0
2023-09-01,11.393132195518529,calm,fx_pressure,passive_brazil_equity,-0.022791500758984506,-0.022791500758984506,0.0,15.0,33.0
2023-10-02,20.038354710957872,fragile,external_brazil_pressure,covered_call,-0.016189570892827833,-0.0224463403725339,0.006256769479706069,15.0,33.0
2023-10-31,25.669596322250023,fragile,fx_pressure,covered_call,-0.010130178905830371,-0.016772761261260927,0.006642582355430556,15.0,33.0
2023-11-29,8.681920379353107,calm,external_brazil_pressure,passive_brazil_equity,0.11539859131119035,0.11539859131119035,0.0,15.0,33.0
2023-12-28,8.213592024775556,calm,external_brazil_pressure,passive_brazil_equity,0.0664104274925772,0.0664104274925772,0.0,15.0,33.0
2024-01-26,5.085758704873719,calm,global_equity_pressure,passive_brazil_equity,-0.04072396336720363,-0.04072396336720363,0.0,15.0,33.0
2024-02-26,11.989009196267657,calm,fx_pressure,passive_brazil_equity,0.005516427901429699,0.005516427901429699,0.0,15.0,33.0
2024-03-26,10.752399846759864,calm,brazil_drawdown_pressure,passive_brazil_equity,-0.02011607574799401,-0.02011607574799401,0.0,15.0,33.0
2024-04-24,16.5673079713657,fragile,brazil_drawdown_pressure,covered_call,-0.014551214247096081,-0.018419317448996386,0.003868103201900305,15.0,33.0
2024-05-23,24.73061680228751,fragile,brazil_drawdown_pressure,covered_call,0.004800546487856638,0.0010746238910983585,0.0037259225967582795,15.0,33.0
2024-06-21,12.595731637511706,calm,brazil_drawdown_pressure,passive_brazil_equity,-0.02543354145221466,-0.02543354145221466,0.0,15.0,33.0
2024-07-22,0.0,calm,brazil_drawdown_pressure,passive_brazil_equity,0.05287244255764567,0.05287244255764567,0.0,15.0,33.0
2024-08-20,16.102468716519166,fragile,brazil_vol_pressure,covered_call,0.032410267053505554,0.06582971321864117,-0.03341944616513562,15.0,33.0
2024-09-18,6.099599283112637,calm,global_equity_pressure,passive_brazil_equity,-0.01804590263961836,-0.01804590263961836,0.0,15.0,33.0
2024-10-17,9.056986682762886,calm,brazil_drawdown_pressure,passive_brazil_equity,-0.021068861429196506,-0.021068861429196506,0.0,15.0,33.0
2024-11-15,26.680729032772653,fragile,global_equity_pressure,covered_call,-0.020265078339844457,-0.023878728880881495,0.0036136505410370376,15.0,33.0
2024-12-16,50.5152335547926,extreme_stress,brazil_vol_pressure,collar,-0.03094836116408906,-0.03259029155682569,0.0016419303927366312,15.0,33.0
2025-01-15,7.60557777797551,calm,brazil_drawdown_pressure,passive_brazil_equity,-0.005406766921301376,-0.005406766921301376,0.0,15.0,33.0
2025-02-13,2.101414565543454,calm,external_brazil_pressure,passive_brazil_equity,0.017646572014191397,0.017646572014191397,0.0,15.0,33.0
2025-03-14,0.34029769098732654,calm,fx_pressure,passive_brazil_equity,0.03344838662571159,0.03344838662571159,0.0,15.0,33.0
2025-04-14,7.3819748686066955,calm,brazil_vol_pressure,passive_brazil_equity,0.005248538068464148,0.005248538068464148,0.0,15.0,33.0
2025-05-14,3.4462096480218745,calm,external_brazil_pressure,passive_brazil_equity,0.06945651866893043,0.06945651866893043,0.0,15.0,33.0
2025-06-12,4.4976533320315575,calm,external_brazil_pressure,passive_brazil_equity,-0.003920399213888537,-0.003920399213888537,0.0,15.0,33.0
2025-07-11,15.30741789034086,fragile,brazil_drawdown_pressure,covered_call,-0.0025010819782051662,-0.00861431479699104,0.006113232818785874,15.0,33.0
