weight_scheme,horizon_days,bsti_threshold,governance_score,observations,signal_observations,signal_frequency,avg_forward_return_signal_on,avg_forward_return_signal_off,avg_forward_max_drawdown_signal_on,avg_forward_max_drawdown_signal_off,future_negative_return_precision,future_drawdown_5pct_precision,future_drawdown_10pct_precision,future_negative_return_recall,future_drawdown_5pct_recall,future_drawdown_10pct_recall
fx_vix_heavy,21,20.0,0.27799878086174523,3228,770,0.2385377942998761,0.009427761366134036,0.01063518742242065,-0.06153052955529864,-0.04930354530536207,0.42337662337662335,0.4857142857142857,0.11428571428571428,0.22973925299506695,0.26945244956772335,0.41904761904761906
fx_vix_heavy,21,25.0,0.27787513627729654,3228,510,0.1579925650557621,0.005526924842946456,0.011251631812483618,-0.06768233650383618,-0.04931884860235595,0.4235294117647059,0.5176470588235295,0.14901960784313725,0.1522198731501057,0.19020172910662825,0.3619047619047619
fx_vix_heavy,21,33.0,0.26518045303856863,3228,244,0.07558859975216853,0.0007390921592429125,0.011132817844965783,-0.07480920778363213,-0.05037304806265203,0.42213114754098363,0.5327868852459017,0.1762295081967213,0.07258632840028188,0.0936599423631124,0.20476190476190476
fx_vix_heavy,21,40.0,0.25792380062110454,3228,123,0.03810408921933085,-0.0048155951015770955,0.010947821299106972,-0.08110426727080726,-0.05107594114133675,0.43089430894308944,0.5365853658536586,0.21951219512195122,0.037350246652572236,0.04755043227665706,0.12857142857142856
fx_vix_heavy,21,50.0,0.25851563878939504,3228,44,0.013630731102850062,-0.008947298023125584,0.010613802779287276,-0.09777485110280709,-0.0515906183007652,0.4090909090909091,0.5454545454545454,0.29545454545454547,0.012684989429175475,0.01729106628242075,0.06190476190476191
fx_vix_heavy,63,10.0,0.49756889568997065,3228,1744,0.540272614622057,0.03683904003290254,0.025135313800419477,-0.09843287815409273,-0.09114684482098331,0.38130733944954126,0.864105504587156,0.32454128440366975,0.5328525641025641,0.537638244737781,0.5654345654345654
fx_vix_heavy,63,15.0,0.46236761167983825,3228,1158,0.3587360594795539,0.03450861151087108,0.029752231578558365,-0.10186904167524857,-0.09128720142760345,0.40328151986183075,0.8644214162348878,0.35060449050086356,0.37419871794871795,0.3571173742418837,0.40559440559440557
fx_vix_heavy,63,20.0,0.43582928038493546,3228,770,0.2385377942998761,0.03819278708928499,0.029348920031918257,-0.10512975049000185,-0.09193610632130819,0.4012987012987013,0.8584415584415584,0.36753246753246754,0.24759615384615385,0.23581876560827686,0.2827172827172827
fx_vix_heavy,63,25.0,0.4253445163971439,3228,510,0.1579925650557621,0.032758489655645304,0.031214592263732677,-0.11123853015615347,-0.09205195247808634,0.4137254901960784,0.8666666666666667,0.39215686274509803,0.16907051282051283,0.1576881912236889,0.1998001998001998
fx_vix_heavy,63,33.0,0.41855328457231367,3228,244,0.07558859975216853,0.028395024615826825,0.03170901658543659,-0.1164991328476023,-0.09333212761402881,0.4098360655737705,0.8852459016393442,0.3975409836065574,0.08012820512820513,0.07706029254370317,0.0969030969030969
fx_vix_heavy,63,40.0,0.4245890461319099,3228,123,0.03810408921933085,0.02176590879686178,0.03184247494853157,-0.12709615111486994,-0.09381514674007986,0.42276422764227645,0.9105691056910569,0.45528455284552843,0.041666666666666664,0.03995718872636461,0.055944055944055944
fx_vix_heavy,63,50.0,0.4440097189518233,3228,44,0.013630731102850062,0.018412196514677535,0.031638804915376476,-0.15097173031948108,-0.09431096139479264,0.4090909090909091,0.9545454545454546,0.5,0.014423076923076924,0.014983945772386728,0.02197802197802198
global_risk_heavy,21,10.0,0.3254428007836692,3228,1640,0.5080545229244114,0.009208238927854336,0.011523397414705327,-0.05707798744090898,-0.0472032258911015,0.44634146341463415,0.4652439024390244,0.09268292682926829,0.5158562367864693,0.5497118155619597,0.7238095238095238
global_risk_heavy,21,15.0,0.2892925842886714,3228,1105,0.3423172242874845,0.009442182209079615,0.010818208005275644,-0.05834048181703727,-0.04903456886968145,0.432579185520362,0.4669683257918552,0.10045248868778281,0.3368569415081043,0.37175792507204614,0.5285714285714286
global_risk_heavy,21,20.0,0.26928367933491454,3228,764,0.23667905824039653,0.009199020381630492,0.010703171820076083,-0.06097832928331787,-0.04950453674744523,0.4214659685863874,0.4725130890052356,0.112565445026178,0.22692036645525018,0.2600864553314121,0.4095238095238095
global_risk_heavy,21,25.0,0.2588564482209324,3228,526,0.16294919454770757,0.00801097045303428,0.01080196020649043,-0.06457439363384569,-0.049815133629443765,0.4068441064638783,0.4828897338403042,0.12927756653992395,0.15081042988019733,0.1829971181556196,0.3238095238095238
global_risk_heavy,21,33.0,0.24931588214005138,3228,283,0.08767038413878563,0.006453740746273613,0.010721310120556108,-0.06774101040863469,-0.05072866423514985,0.38869257950530034,0.49823321554770317,0.14487632508833923,0.07751937984496124,0.10158501440922191,0.19523809523809524
global_risk_heavy,21,40.0,0.2288434913602113,3228,163,0.050495662949194546,0.0006735554822685773,0.010861623945390994,-0.07440872661021365,-0.051040130401531845,0.38650306748466257,0.4723926380368098,0.18404907975460122,0.04439746300211417,0.05547550432276657,0.14285714285714285
global_risk_heavy,21,50.0,0.22802930162021556,3228,81,0.02509293680297398,0.003109097184664365,0.010533469991825662,-0.07874996647899939,-0.0515372973731684,0.37037037037037035,0.48148148148148145,0.20987654320987653,0.021141649048625793,0.028097982708933718,0.08095238095238096
global_risk_heavy,63,10.0,0.4895024366279327,3228,1640,0.5080545229244114,0.03686907937256152,0.02587078169156399,-0.09937568211798384,-0.09065033913197953,0.3896341463414634,0.8609756097560975,0.3329268292682927,0.5120192307692307,0.5037459864430966,0.5454545454545454
global_risk_heavy,63,15.0,0.45443611935053707,3228,1105,0.3423172242874845,0.034233312976176704,0.03001426314579805,-0.10222016943089263,-0.09136861516436204,0.39819004524886875,0.8561085972850678,0.351131221719457,0.3525641025641026,0.33749554049232966,0.3876123876123876
global_risk_heavy,63,20.0,0.43760629784502725,3228,764,0.23667905824039653,0.03480712517782526,0.03042023046320861,-0.10496134943017305,-0.09202044896526977,0.4005235602094241,0.862565445026178,0.3756544502617801,0.24519230769230768,0.23510524438102035,0.2867132867132867
global_risk_heavy,63,25.0,0.42860225361339116,3228,526,0.16294919454770757,0.03809930712938865,0.030165749795390853,-0.10801835324824208,-0.09256521221558167,0.37832699619771865,0.8726235741444867,0.3669201520912547,0.1594551282051282,0.16375312165536926,0.1928071928071928
global_risk_heavy,63,33.0,0.4140575064693908,3228,283,0.08767038413878563,0.03462950505862591,0.03115380019205887,-0.11165301806812661,-0.09349101972896337,0.4028268551236749,0.872791519434629,0.38869257950530034,0.09134615384615384,0.08811987156617909,0.10989010989010989
global_risk_heavy,63,40.0,0.4244914298630109,3228,163,0.050495662949194546,0.02904360243374176,0.031586944306853056,-0.11935199260629549,-0.09379265331818948,0.39263803680981596,0.9079754601226994,0.4110429447852761,0.05128205128205128,0.05280057081698181,0.06693306693306693
global_risk_heavy,63,50.0,0.4174978136091368,3228,81,0.02509293680297398,0.02697757612424593,0.03157385059775678,-0.12744286398807572,-0.09425039251097643,0.3950617283950617,0.9012345679012346,0.4691358024691358,0.02564102564102564,0.026043524794862646,0.03796203796203796
