Date,brazil_drawdown_pressure_weighted,brazil_vol_pressure_weighted,external_brazil_pressure_weighted,global_equity_pressure_weighted,fx_pressure_weighted,vix_pressure_weighted,bsti_raw_score,bsti_0_100,bsti_regime,stress_breadth,active_pressure_channels,dominant_pressure_channel,dominant_pressure_value,brazil_drawdown_pressure,brazil_vol_pressure,external_brazil_pressure,global_equity_pressure,fx_pressure,vix_pressure
2014-05-15,0.0,0.0,0.10049523869923348,0.21191866453816924,0.0,0.2098954499440088,0.5223093531814115,17.410311772713715,fragile,0.3333333333333333,2,global_equity_pressure,1.4127910969211284,0.0,0.0,0.5024761934961673,1.4127910969211284,0.0,1.3993029996267254
2014-05-16,0.0,0.0,0.012905744750435252,0.0,0.1855665478717271,0.0,0.19847229262216237,6.615743087405413,calm,0.16666666666666666,1,fx_pressure,1.2371103191448474,0.0,0.0,0.06452872375217626,0.0,1.2371103191448474,0.0
2014-05-19,0.0,0.0,0.20416909342788983,0.0,0.0,0.0009827495215144902,0.20515184294940433,6.838394764980145,calm,0.16666666666666666,1,external_brazil_pressure,1.0208454671394491,0.0,0.0,1.0208454671394491,0.0,0.0,0.006551663476763268
2014-05-20,0.0,0.0,0.2378147080215018,0.155233644126841,0.0,0.11733454504736546,0.5103828971957083,17.012763239856945,fragile,0.5,3,external_brazil_pressure,1.189073540107509,0.0,0.0,1.189073540107509,1.0348909608456067,0.0,0.7822303003157698
2014-05-21,0.005236039070620136,0.0,0.0811277290726229,0.0,0.12402199349326094,0.0,0.21038576163650397,7.012858721216799,calm,0.16666666666666666,1,fx_pressure,0.826813289955073,0.02618019535310068,0.0,0.4056386453631145,0.0,0.826813289955073,0.0
2014-05-22,0.0,0.0,0.01039695907571174,0.0,0.0,0.029309141061361302,0.03970610013707304,1.323536671235768,calm,0.0,0,vix_pressure,0.1953942737424087,0.0,0.0,0.0519847953785587,0.0,0.0,0.1953942737424087
2014-05-23,0.0,0.0,0.19356286157317631,0.0,0.07828874775952219,0.0,0.2718516093326985,9.06172031108995,calm,0.16666666666666666,1,external_brazil_pressure,0.9678143078658815,0.0,0.0,0.9678143078658815,0.0,0.5219249850634813,0.0
2014-05-26,0.0,0.0,0.03028505244452201,0.012787134538818535,0.10260235136416133,0.0056107726359334725,0.15128531098343534,5.042843699447844,calm,0.0,0,fx_pressure,0.6840156757610756,0.0,0.0,0.15142526222261005,0.08524756359212357,0.6840156757610756,0.03740515090622315
2014-05-27,0.017069814345774197,0.0,0.31524822410020636,0.0,0.041139083016913776,0.03895819366038824,0.41241531512328256,13.747177170776084,calm,0.16666666666666666,1,external_brazil_pressure,1.5762411205010316,0.08534907172887098,0.0,1.5762411205010316,0.0,0.27426055344609185,0.25972129106925496
2014-05-28,0.0,0.0,0.0,0.028667528606922184,0.13570840562249406,0.04231968665404892,0.20669562088346516,6.889854029448839,calm,0.16666666666666666,1,fx_pressure,0.9047227041499605,0.0,0.0,0.0,0.19111685737948123,0.9047227041499605,0.28213124436032616
2014-05-29,0.019341944542332158,0.0,0.14439668607863063,0.0,0.0,0.0,0.16373863062096278,5.4579543540320925,calm,0.0,0,external_brazil_pressure,0.7219834303931532,0.09670972271166078,0.0,0.7219834303931532,0.0,0.0,0.0
